Gene Symbol	Gene ID	logFC	FDR corrected Pvalue
ADIPOQ	9370	3.560733982	2.34E-08
USP18	11274	-1.033483508	2.39E-08
NDUFB11	54539	-0.766595169	2.41E-08
NCKAP5L	57701	0.561729539	2.46E-08
JMJD1C	221037	0.663422966	2.50E-08
FAM96A	84191	-0.563382794	2.53E-08
SLC12A4	6560	0.615068884	2.55E-08
MUTYH	4595	-0.69612447	2.56E-08
IGF1	3479	1.219381694	2.66E-08
ZHX3	23051	0.710410201	2.66E-08
SYNPO2	171024	1.28224756	2.69E-08
ADH1B	125	2.739884078	2.70E-08
IQSEC1	9922	0.581235536	2.70E-08
C10orf72	196740	1.191037493	2.73E-08
LIPE	3991	1.028432726	2.77E-08
UBE2QL1	134111	1.64466756	2.84E-08
ADO	84890	0.634536529	2.85E-08
POLR1C	9533	-0.540102315	2.85E-08
PRPH2	5961	1.294658388	2.85E-08
NXPH3	11248	0.987591941	2.89E-08
HEY1	23462	1.301343943	2.90E-08
NDST1	3340	0.672063543	2.92E-08
DPYSL3	1809	1.030115323	2.92E-08
GJC1	10052	1.055514897	3.01E-08
CRLF1	9244	2.203668395	3.03E-08
SH3D19	152503	0.657157087	3.15E-08
CYP4X1	260293	-1.444987972	3.16E-08
MMP16	4325	1.325202912	3.28E-08
LIMA1	51474	0.603651459	3.33E-08
TGFBI	7045	0.866870468	3.37E-08
DDR2	4921	1.12536888	3.42E-08
NR4A1	3164	1.438652213	3.63E-08
FOXF1	2294	1.108856566	3.69E-08
PDGFRL	5157	1.039216696	3.71E-08
UQCRFS1	7386	-0.898203027	3.76E-08
MOBKL2C	148932	-0.58944104	3.76E-08
GBP1	2633	-0.940754473	3.77E-08
GPD1	2819	1.785836168	3.81E-08
LYVE1	10894	1.439042008	3.82E-08
FASLG	356	-1.324720973	3.94E-08
NXT2	55916	-0.803483829	3.95E-08
SP110	3431	-0.740539466	4.02E-08
IFIT1	3434	-1.315671678	4.02E-08
PRND	23627	1.754721463	4.04E-08
HESX1	8820	-0.89434317	4.11E-08
GALK1	2584	-0.669419	4.16E-08
NAP1L3	4675	1.095151545	4.28E-08
GJB2	2706	1.431051054	4.29E-08
TTF2	8458	-0.693602144	4.36E-08
PCDH18	54510	0.979113342	4.41E-08
TWIST2	117581	1.570526808	4.50E-08
APOBEC3G	60489	-0.907584918	4.50E-08
HLA-DMB	3109	-1.101917776	4.83E-08
KIFC3	3801	0.782085968	4.95E-08
FAT4	79633	0.983562767	5.08E-08
COL18A1	80781	0.743740891	5.08E-08
TRAM2	9697	0.533523923	5.11E-08
ROBO2	6092	1.544333066	5.13E-08
C15orf48	84419	-1.325188736	5.29E-08
FGD6	55785	0.737510031	5.34E-08
CLEC1A	51267	0.859042684	5.34E-08
INMT	11185	1.332991135	5.49E-08
SPRY2	10253	1.25980441	5.49E-08
PLXND1	23129	0.721576522	5.54E-08
PLCG1	5335	0.61882646	5.62E-08
BHLHE22	27319	1.493921404	5.62E-08
BMPER	168667	1.623670436	5.68E-08
NCOR2	9612	0.634386874	5.69E-08
POP4	10775	-1.009409265	5.77E-08
VAMP8	8673	-0.634151807	5.81E-08
UGT8	7368	-1.161786138	5.83E-08
NTS	4922	-2.957009321	5.93E-08
RAB11FIP5	26056	0.614558921	5.96E-08
HLA-DRB1	3123	-1.161951667	5.97E-08
SORBS1	10580	0.810321832	5.97E-08
IFI27	3429	-1.306876088	6.02E-08
SMTNL1	219537	-1.352195727	6.15E-08
PVRL1	5818	0.861479297	6.20E-08
FOXE1	2304	2.956191544	6.23E-08
MME	4311	1.724515122	6.24E-08
NGDN	25983	-0.542329157	6.36E-08
IFIT3	3437	-1.116487414	6.50E-08
PSMD4	5710	-0.494028133	6.69E-08
KDELC1	79070	0.751318533	6.77E-08
SDK1	221935	1.345049971	6.78E-08
GRIK2	2898	1.368924398	6.98E-08
APCDD1L	164284	1.648829011	7.28E-08
PARVA	55742	0.471920396	7.37E-08
DRP2	1821	1.06078389	7.37E-08
AKAP2	11217	0.857072817	7.50E-08
CCBE1	147372	1.714213822	7.50E-08
ID3	3399	0.993073034	7.59E-08
HLA-DOA	3111	-1.350783453	7.72E-08
IFIT2	3433	-1.114200283	7.79E-08
FOXS1	2307	1.129141979	8.00E-08
SLC22A3	6581	1.640723564	8.19E-08
FAM20C	56975	0.956817848	8.23E-08
TIE1	7075	0.737022927	8.29E-08
KLHL4	56062	1.293257815	8.29E-08
GBP5	115362	-1.206418437	8.50E-08
MGP	4256	1.274030821	8.50E-08
MEGF8	1954	0.777075497	8.50E-08
MRPL16	54948	-0.512360256	8.58E-08
C3orf70	285382	1.05998927	8.89E-08
C9orf100	84904	-0.7751887	9.06E-08
C2orf64	493753	-0.471882551	9.38E-08
DLX5	1749	1.940236239	9.40E-08
IFI44	10561	-1.033042783	9.65E-08
CD276	80381	0.533986458	9.75E-08
NPNT	255743	1.213256551	9.77E-08
LIF	3976	1.179052763	9.77E-08
FAM195A	84331	-0.727999539	9.77E-08
RFTN2	130132	0.956072155	9.81E-08
HSD17B10	3028	-0.598997242	1.00E-07
GPD2	2820	-0.620971924	1.00E-07
CDK14	5218	0.835054507	1.00E-07
KCNAB1	7881	0.876539321	1.00E-07
WDR86	349136	1.350532021	1.02E-07
HLA-DRB5	3127	-1.48162584	1.03E-07
SYNC	81493	1.107571476	1.05E-07
DAB2	1601	0.682497061	1.07E-07
DPT	1805	1.885948985	1.07E-07
RASSF8	11228	1.406064637	1.08E-07
TPM1	7168	0.602485997	1.08E-07
UNC5B	219699	0.924988342	1.08E-07
HTATIP2	10553	-0.780314953	1.09E-07
ZBP1	81030	-1.549765624	1.09E-07
ITGA8	8516	1.572472876	1.12E-07
TMEM130	222865	1.45249395	1.15E-07
RAI14	26064	0.787536356	1.19E-07
GNG11	2791	0.904777336	1.19E-07
EPYC	1833	2.368779625	1.22E-07
PCDHGC5	56097	1.210493165	1.25E-07
PLEC	5339	0.864708651	1.25E-07
XCL2	6846	-1.33350973	1.28E-07
DNPEP	23549	-0.420068501	1.28E-07
MESP1	55897	-1.33180571	1.30E-07
ROR2	4920	1.096235266	1.31E-07
APTX	54840	-0.509980873	1.33E-07
S1PR1	1901	0.693274656	1.38E-07
APOL3	80833	-0.935029665	1.39E-07
FIBIN	387758	1.130048211	1.40E-07
CHMP5	51510	-0.574405887	1.42E-07
MRPS18A	55168	-0.554269582	1.46E-07
EFEMP1	2202	1.274531789	1.46E-07
ACTN1	87	0.52177751	1.47E-07
HCST	10870	-0.785776595	1.48E-07
MTX2	10651	-0.488560102	1.56E-07
WNT2B	7482	1.664165236	1.58E-07
FAM26F	441168	-1.181311104	1.62E-07
ELTD1	64123	0.704009184	1.64E-07
SALL4	57167	1.43816745	1.65E-07
HAS1	3036	2.203027183	1.66E-07
KRTCAP3	200634	-0.869320682	1.67E-07
FAM109A	144717	0.577370833	1.68E-07
C7orf47	221908	-0.606744531	1.72E-07
LGALS9	3965	-0.837270732	1.75E-07
PABPC5	140886	1.212928914	1.76E-07
MBOAT1	154141	-0.689317028	1.77E-07
NEDD9	4739	1.105800887	1.78E-07
FBLN5	10516	0.94778832	1.78E-07
POSTN	10631	1.821905048	1.80E-07
PLA2G2A	5320	2.40915054	1.82E-07
DEPDC7	91614	0.939147103	1.83E-07
SCNM1	79005	-0.565659025	1.83E-07
CD74	972	-0.955114601	1.89E-07
LGI2	55203	1.178720277	1.91E-07
OLFML2A	169611	1.176840036	1.98E-07
PAPPA	5069	1.504341697	2.01E-07
WARS	7453	-0.721288106	2.06E-07
TNFRSF19	55504	0.957626365	2.08E-07
GBAS	2631	-0.492185631	2.09E-07
BICD2	23299	0.498030291	2.09E-07
C3orf26	84319	-0.50440464	2.11E-07
OASL	8638	-1.265014198	2.12E-07
BCAR1	9564	0.544564628	2.14E-07
KANK3	256949	0.800526996	2.16E-07
FANCG	2189	-0.566969875	2.16E-07
MMP17	4326	1.54600358	2.18E-07
LPPR2	64748	0.70849504	2.27E-07
ADAMTSL3	57188	1.324268102	2.30E-07
LAMP3	27074	-1.218478435	2.33E-07
HLX	3142	0.672757039	2.35E-07
KANK2	25959	0.626799922	2.36E-07
RG9MTD1	54931	-0.478679591	2.38E-07
BTN3A1	11119	-0.670569234	2.38E-07
ACCN1	40	2.296038021	2.38E-07
DDX58	23586	-0.912663096	2.39E-07
NTM	50863	1.794058543	2.40E-07
NRL	4901	-0.659258654	2.40E-07
CHST15	51363	0.889621183	2.45E-07
ANXA8	653145	1.858945557	2.45E-07
ITIH3	3699	1.460641704	2.58E-07
FAM189A1	23359	1.47932964	2.62E-07
FKBP10	60681	0.645263782	2.66E-07
IFI44L	10964	-1.150525872	2.66E-07
OAS1	4938	-1.060112421	2.67E-07
TNFAIP8	25816	-0.760260009	2.68E-07
CXCL9	4283	-1.564258475	2.68E-07
MBNL2	10150	0.533332867	2.69E-07
AMOTL2	51421	0.634287817	2.74E-07
PID1	55022	1.200117838	2.75E-07
RTN4	57142	0.422460486	2.75E-07
DARC	2532	1.335609812	2.76E-07
HSD17B6	8630	0.994771762	2.79E-07
PARP14	54625	-0.778530914	2.82E-07
DHODH	1723	-0.622516977	2.82E-07
SPOCD1	90853	1.184907136	2.86E-07
C16orf75	116028	-0.786375137	2.94E-07
ADARB1	104	0.706986227	2.94E-07
CBR3	874	-1.132028102	2.94E-07
PARP9	83666	-0.706124218	2.97E-07
SOX4	6659	0.688243555	2.98E-07
HS2ST1	9653	0.399460204	3.05E-07
ATP1A2	477	1.864325996	3.10E-07
SLC6A1	6529	1.148002765	3.12E-07
SEC23A	10484	0.48304135	3.12E-07
MRPL11	65003	-0.609734394	3.22E-07
IRF7	3665	-0.97570263	3.23E-07
BDKRB1	623	1.342858473	3.26E-07
VEGFC	7424	0.94036464	3.44E-07
C7orf10	79783	1.111183544	3.54E-07
PRTG	283659	1.253185561	3.60E-07
COL7A1	1294	1.509112154	3.60E-07
EPHA2	1969	0.760281464	3.72E-07
WHAMML1	339005	0.967647237	3.73E-07
APOD	347	1.139160519	3.73E-07
MFAP2	4237	1.12139055	3.75E-07
HLA-DPB1	3115	-0.986281929	3.76E-07
VTN	7448	1.709203001	3.77E-07
SH2D2A	9047	-0.944694931	3.90E-07
CDCA7	83879	-0.989950968	3.91E-07
SMAD9	4093	1.126553967	4.00E-07
FAM100B	283991	-0.603963761	4.03E-07
TOMM5	401505	-0.571955136	4.05E-07
ZCCHC18	644353	1.021264515	4.06E-07
CFLAR	8837	-0.505203018	4.09E-07
SIX3	6496	2.821966164	4.24E-07
H2AFZ	3015	-0.603754716	4.30E-07
ANKRD50	57182	0.584862182	4.31E-07
BTN3A2	11118	-0.748803739	4.31E-07
OXSM	54995	-0.517594533	4.34E-07
FGFR3	2261	1.515834753	4.46E-07
B3GAT1	27087	1.967659734	4.53E-07
ESAM	90952	0.559408383	4.59E-07
LAMA4	3910	0.826460833	4.66E-07
SYDE1	85360	0.857059175	4.66E-07
NT5C3	51251	-0.670038096	4.66E-07
NR1H3	10062	-0.560418764	4.72E-07
FAM158A	51016	-0.682051149	4.77E-07
FAM126A	84668	0.70510394	4.91E-07
CRISPLD1	83690	1.292193653	4.93E-07
ISG20	3669	-0.921248939	4.95E-07
PTPRB	5787	0.703974339	5.00E-07
COL25A1	84570	1.712595917	5.07E-07
FZD7	8324	0.892917649	5.09E-07
ASXL3	80816	1.718598275	5.13E-07
IL6R	3570	-0.891625956	5.16E-07
HSPB11	51668	-0.619602949	5.32E-07
TMEM132B	114795	1.505716411	5.33E-07
FGF3	2248	3.503654048	5.38E-07
FMO1	2326	1.475623543	5.39E-07
GPR64	10149	1.568459689	5.54E-07
MOXD1	26002	1.494797736	5.59E-07
SEMA5A	9037	1.139519672	5.60E-07
CMPK2	129607	-0.998938602	5.79E-07
C9orf46	55848	-0.663447188	6.04E-07
TBC1D8B	54885	0.715315939	6.04E-07
BASP1	10409	1.009600701	6.05E-07
DTX3L	151636	-0.607269313	6.13E-07
LRRC4C	57689	1.367062941	6.30E-07
CST1	1469	2.119204519	6.30E-07
VWF	7450	0.721745771	6.38E-07
PTGIR	5739	0.882670376	6.49E-07
RIN2	54453	0.488847563	6.52E-07
SAMD4A	23034	0.704744805	6.91E-07
ITGA2	3673	0.944225095	7.08E-07
PPP1R3C	5507	1.165843966	7.08E-07
CCL5	6352	-1.06339146	7.16E-07
FLJ42709	441094	1.031306059	7.26E-07
FHL3	2275	0.60550369	7.29E-07
BCAT1	586	1.62503982	7.42E-07
BTN3A3	10384	-0.734393428	7.50E-07
SKI	6497	0.563245416	7.50E-07
F3	2152	1.06648697	7.54E-07
ARSB	411	0.520552235	7.62E-07
PIR	8544	-0.916909749	7.63E-07
MCC	4163	0.892435715	7.71E-07
TAF4B	6875	-0.774321113	7.72E-07
MTCP1	4515	-0.790830116	7.72E-07
ANXA6	309	0.58906036	8.04E-07
MRPL2	51069	-0.574009368	8.09E-07
SQRDL	58472	-0.716308745	8.13E-07
GPR17	2840	1.610284546	8.25E-07
SNX18	112574	0.461893989	8.44E-07
EFR3B	22979	0.977461221	8.46E-07
NUP85	79902	-0.453999391	8.48E-07
RPP21	79897	-0.587891226	8.48E-07
ARHGAP28	79822	0.976322377	8.51E-07
TNFRSF10D	8793	0.999221153	8.54E-07
SLC2A10	81031	0.708403606	8.54E-07
PLEKHF1	79156	-1.09157522	8.71E-07
HMGB2	3148	-0.672356869	8.79E-07
ARID5B	84159	0.583260782	8.98E-07
PTK7	5754	0.584227427	9.00E-07
USF1	7391	-0.381279207	9.08E-07
DDX60	55601	-0.876074308	9.45E-07
PRRG4	79056	-0.807151406	9.54E-07
XIRP1	165904	1.390432771	9.72E-07
MAGOH	4116	-0.549840924	9.74E-07
SERINC5	256987	0.70168872	9.80E-07
GPR85	54329	0.804665831	9.82E-07
RASA3	22821	0.74128424	1.00E-06
IRAK1BP1	134728	-0.704880053	1.01E-06
NEDD4	4734	0.815243694	1.02E-06
REP15	387849	0.906339725	1.02E-06
DUSP1	1843	1.125650386	1.02E-06
LYSMD2	256586	-0.701184781	1.04E-06
HAS2	3037	1.374920207	1.05E-06
BAALC	79870	1.27094958	1.05E-06
CTSS	1520	-0.715317546	1.06E-06
GREM1	26585	1.708131019	1.07E-06
FSCN2	25794	0.995035459	1.07E-06
NOVA2	4858	0.97523451	1.12E-06
TUBB2A	7280	0.964329418	1.12E-06
RHOBTB2	23221	0.578132703	1.12E-06
DNM1	1759	0.845725408	1.16E-06
SEPT4	5414	0.651910505	1.16E-06
TARS2	80222	-0.445533851	1.17E-06
NCAM2	4685	1.814184573	1.17E-06
TMEM132E	124842	1.466889985	1.17E-06
CASP1	834	-0.78044682	1.18E-06
FAAH2	158584	-0.714941823	1.21E-06
CBX6	23466	0.772741877	1.21E-06
TSFM	10102	-0.46807892	1.22E-06
DCTN3	11258	-0.544120172	1.23E-06
JUB	84962	0.694808098	1.28E-06
IL15	3600	-1.048498899	1.32E-06
PDZD4	57595	1.524387212	1.34E-06
GPER	2852	0.961476934	1.36E-06
ARHGAP31	57514	0.639292802	1.38E-06
CYBA	1535	-0.705454545	1.39E-06
DUSP11	8446	-0.492972659	1.39E-06
IRGQ	126298	0.631510856	1.40E-06
MTHFD2	10797	-0.65851853	1.41E-06
RPL39L	116832	-0.769339954	1.41E-06
FOSB	2354	1.760920401	1.44E-06
CCL8	6355	-1.133236335	1.44E-06
MYO1D	4642	0.524625879	1.47E-06
CNPY4	245812	0.506710586	1.49E-06
EXTL3	2137	0.588750287	1.52E-06
MRPL18	29074	-0.476101699	1.53E-06
TMEM198	130612	0.971624436	1.55E-06
MOCOS	55034	-1.009988871	1.56E-06
FGF18	8817	1.110234455	1.57E-06
THY1	7070	0.973988894	1.58E-06
PDE10A	10846	1.398830684	1.58E-06
HS3ST2	9956	1.317905886	1.61E-06
CCDC109B	55013	-0.77754092	1.63E-06
GPR4	2828	0.598001605	1.64E-06
DCBLD1	285761	0.560019202	1.65E-06
DSE	29940	0.552028728	1.66E-06
NEDD8	4738	-0.501947346	1.67E-06
MARVELD3	91862	-0.680691144	1.67E-06
PLS3	5358	0.809145737	1.69E-06
HPSE	10855	-0.93236723	1.70E-06
SDPR	8436	1.065579791	1.71E-06
MRPS6	64968	-0.642406534	1.71E-06
TCF19	6941	-0.705304684	1.74E-06
CENPM	79019	-0.757354522	1.74E-06
COMMD3	23412	-0.564883128	1.77E-06
SP140	11262	-0.97663314	1.80E-06
CRMP1	1400	1.102254887	1.81E-06
PCNA	5111	-0.560404854	1.83E-06
ODZ2	57451	1.28079879	1.87E-06
DHRS3	9249	-0.945873216	1.87E-06
GMNN	51053	-0.688207417	1.87E-06
ABHD2	11057	0.523102283	1.87E-06
ZCCHC17	51538	-0.47546821	1.88E-06
GAD1	2571	1.898120719	1.91E-06
SF3B5	83443	-0.574910211	1.96E-06
C9orf110	100128385	1.097349797	1.96E-06
MICB	4277	-1.010177756	1.96E-06
AURKB	9212	-0.739705624	2.02E-06
NR2C2AP	126382	-0.608416291	2.02E-06
TMEM62	80021	-0.578520118	2.02E-06
DLG4	1742	0.701026022	2.02E-06
TAPBP	6892	-0.562326637	2.02E-06
NT5E	4907	1.094068487	2.03E-06
CYP1B1	1545	1.175316844	2.09E-06
UXT	8409	-0.710588855	2.11E-06
FKBP9	11328	0.489563295	2.13E-06
RASSF9	9182	-0.764875238	2.14E-06
MRPS17	51373	-0.478951821	2.24E-06
ATP5G3	518	-0.589834123	2.24E-06
F2RL2	2151	1.557048417	2.30E-06
LY75	4065	-0.74467801	2.30E-06
PLA1A	51365	-2.184832389	2.32E-06
C17orf90	339229	-0.579890305	2.33E-06
FGF17	8822	1.767564372	2.33E-06
WDR76	79968	-0.686029892	2.35E-06
FAT1	2195	0.854026595	2.37E-06
AK2	204	-0.509386198	2.40E-06
HSPB8	26353	1.123992814	2.42E-06
LRRN3	54674	1.08743677	2.45E-06
DENND2D	79961	-0.495637661	2.45E-06
PTPRCAP	5790	-0.910748294	2.49E-06
EGFL7	51162	0.967135421	2.50E-06
SGK223	157285	0.733015904	2.51E-06
NDN	4692	1.112423141	2.51E-06
ORAI2	80228	0.51349891	2.55E-06
RASAL2	9462	0.480535907	2.55E-06
LRRC55	219527	-1.671741348	2.55E-06
DNAJA1	3301	-0.44115857	2.57E-06
NUP88	4927	-0.489659061	2.58E-06
IL12RB1	3594	-0.954667818	2.59E-06
MRPS18B	28973	-0.483148006	2.61E-06
PCOLCE2	26577	1.211532061	2.63E-06
MELK	9833	-0.727650975	2.65E-06
TCF21	6943	1.565501231	2.65E-06
HCG27	253018	-0.991259048	2.68E-06
HRH2	3274	0.898195837	2.68E-06
PARP3	10039	-0.583260868	2.70E-06
ENC1	8507	0.869926987	2.70E-06
ANXA8L2	244	1.614135821	2.71E-06
LPAR1	1902	0.886365152	2.72E-06
COL27A1	85301	1.118613112	2.79E-06
BTC	685	-1.116717497	2.86E-06
NPB	256933	-1.126234633	2.87E-06
ZNF365	22891	0.899007607	2.91E-06
DOCK6	57572	0.643954118	2.94E-06
SPNS2	124976	0.891535448	2.96E-06
IL11	3589	1.093220695	2.96E-06
SGCD	6444	1.072368788	3.05E-06
SCHIP1	29970	0.721802895	3.10E-06
ITSN1	6453	0.435269277	3.12E-06
MRPL38	64978	-0.519945008	3.14E-06
COL6A6	131873	1.83271204	3.15E-06
FLG	2312	2.452392371	3.18E-06
C2CD4B	388125	-1.472716133	3.19E-06
TANC2	26115	0.663031177	3.31E-06
BTN2A2	10385	-0.541965491	3.32E-06
C3orf37	56941	-0.401402939	3.40E-06
CKAP4	10970	0.54122655	3.44E-06
VASH1	22846	0.594871272	3.46E-06
JAGN1	84522	-0.449367761	3.46E-06
ITGA10	8515	1.084881131	3.49E-06
ADAMTSL5	339366	1.311080028	3.51E-06
CBR1	873	-0.526102313	3.59E-06
RNASE4	6038	0.83002483	3.65E-06
SHANK3	85358	0.558114547	3.68E-06
NUP37	79023	-0.482996447	3.68E-06
FAM84A	151354	1.29041117	3.74E-06
CEACAM1	634	-1.094186002	3.79E-06
C19orf26	255057	1.141494177	3.82E-06
PTPN2	5771	-0.400369532	3.84E-06
GINS2	51659	-0.698970853	3.86E-06
CLIC3	9022	1.092020424	3.87E-06
LIMS2	55679	0.723958394	3.88E-06
GCH1	2643	-0.599153166	3.88E-06
CHI3L1	1116	-1.135102161	4.02E-06
GNG2	54331	0.648127519	4.03E-06
HMGN2	3151	-0.485604883	4.04E-06
KIT	3815	1.253867845	4.06E-06
FGF9	2254	1.442186763	4.07E-06
DRAP1	10589	-0.458016833	4.08E-06
DCI	1632	-0.607057816	4.16E-06
KIAA0754	643314	0.846962147	4.25E-06
EMP1	2012	0.84116007	4.31E-06
SHOX2	6474	1.596826272	4.33E-06
C1orf172	126695	-0.590961982	4.34E-06
HAT1	8520	-0.396222987	4.36E-06
THTPA	79178	-0.536828348	4.42E-06
TMEM149	79713	-0.616417201	4.43E-06
KIAA0101	9768	-0.763922147	4.47E-06
PRDX1	5052	-0.481310609	4.48E-06
ZNF423	23090	1.065781677	4.53E-06
CD48	962	-0.794797702	4.55E-06
GPR133	283383	1.327695155	4.56E-06
ANKRD53	79998	1.035782666	4.57E-06
BOLA3	388962	-0.577597924	4.60E-06
SHE	126669	0.846571843	4.60E-06
PODXL	5420	0.843291473	4.62E-06
TYROBP	7305	-0.691119209	4.72E-06
C12orf62	84987	-0.568606106	4.72E-06
GOLPH3L	55204	-0.434734785	4.77E-06
DCK	1633	-0.548509109	4.81E-06
MLLT11	10962	0.837976929	4.93E-06
DBI	1622	-0.570620803	4.96E-06
TTC39B	158219	-0.811968531	5.06E-06
ELOVL3	83401	-1.358216037	5.13E-06
TSPAN9	10867	0.560149858	5.15E-06
DCAF11	80344	-0.39627977	5.17E-06
LDLRAD2	401944	0.598062263	5.21E-06
KRT17	3872	1.249773623	5.26E-06
SIT1	27240	-1.082207595	5.28E-06
GYG1	2992	-0.511185743	5.29E-06
PCDHB3	56132	1.488920952	5.36E-06
MASP1	5648	1.433000933	5.36E-06
F5	2153	1.188156679	5.38E-06
FBXO34	55030	-0.462998883	5.41E-06
IRF2	3660	-0.361754704	5.46E-06
TSC22D2	9819	0.407085839	5.46E-06
KIAA0020	9933	-0.519113549	5.49E-06
BCL6B	255877	0.7231045	5.49E-06
CEP70	80321	-0.505553944	5.53E-06
IFI6	2537	-1.165417964	5.56E-06
APOC1	341	-0.814604719	5.56E-06
HOXA1	3198	1.374386091	5.58E-06
COX7A2	1347	-0.671129934	5.63E-06
SIK1	150094	0.767492417	5.68E-06
NUB1	51667	-0.471406021	5.86E-06
CHEK2	11200	-0.567118042	5.86E-06
IGLON5	402665	1.758405204	5.87E-06
GOLIM4	27333	0.652026885	5.89E-06
UBE2T	29089	-0.640921226	5.91E-06
SNRPC	6631	-0.51429411	5.94E-06
RGS5	8490	0.587991462	6.01E-06
ABTB2	25841	0.855847733	6.01E-06
SNCAIP	9627	1.158328822	6.01E-06
IRS1	3667	0.770900273	6.03E-06
FABP4	2167	2.603578137	6.06E-06
TMEM187	8269	-0.610198875	6.08E-06
MLXIP	22877	0.507657889	6.12E-06
NUBP1	4682	-0.459856124	6.18E-06
SCUBE2	57758	1.198065094	6.18E-06
PPM1F	9647	0.53128865	6.24E-06
DPYSL4	10570	1.274304165	6.27E-06
SOX7	83595	0.892870389	6.33E-06
LY6D	8581	2.642960843	6.43E-06
CHMP4A	29082	-0.509104808	6.43E-06
CALB2	794	1.527769358	6.49E-06
DYNC1I1	1780	1.176954769	6.51E-06
SIM2	6493	1.683571644	6.52E-06
ALDH1A2	8854	1.89412492	6.53E-06
TK1	7083	-0.765787145	6.53E-06
SPRYD4	283377	-0.52178746	6.67E-06
ENG	2022	0.497509013	6.73E-06
PQBP1	10084	-0.78160311	6.84E-06
CARHSP1	23589	-0.551462839	6.92E-06
WDR77	79084	-0.580576777	6.97E-06
LYG2	254773	-1.659190745	6.98E-06
ZC3H13	23091	0.46973123	7.08E-06
LPL	4023	1.090001627	7.08E-06
DYNLT1	6993	-0.544331557	7.21E-06
NRIP2	83714	0.646296478	7.24E-06
LSM6	11157	-0.52756242	7.25E-06
FDPS	2224	-0.422021351	7.27E-06
C8orf58	541565	0.520915319	7.29E-06
TRIM26	7726	-0.421247564	7.34E-06
CASP8	841	-0.434006688	7.39E-06
C17orf91	84981	0.696198694	7.39E-06
TMEM140	55281	-0.448337574	7.47E-06
SLAMF7	57823	-1.207859854	7.60E-06
GDF10	2662	1.835258051	7.67E-06
SDS	10993	-0.761934835	7.71E-06
RASD2	23551	1.025393846	7.75E-06
RHOB	388	0.707426442	7.77E-06
LAMA1	284217	1.277834946	7.82E-06
ELK3	2004	0.566669524	7.89E-06
DDIT3	1649	-0.633887861	8.00E-06
ALDH5A1	7915	-0.562580593	8.04E-06
RHBDF1	64285	0.574806291	8.07E-06
ST6GALNAC3	256435	0.914458019	8.15E-06
CFD	1675	0.892861014	8.15E-06
ACSL1	2180	0.619504773	8.24E-06
TSPAN5	10098	0.891019115	8.25E-06
CASK	8573	0.462097279	8.32E-06
MID1IP1	58526	-0.52247976	8.32E-06
SIP1	8487	-0.546512567	8.34E-06
ABCA9	10350	1.253222335	8.38E-06
HSH2D	84941	-0.910591125	8.41E-06
TSHZ2	128553	0.870116015	8.43E-06
NLGN2	57555	0.651419384	8.61E-06
ACYP1	97	-0.625094946	8.71E-06
ENAH	55740	0.494128733	8.71E-06
ISLR2	57611	1.290557033	8.86E-06
C5orf28	64417	-0.512110762	8.86E-06
VASH2	79805	0.829403006	8.89E-06
PLAC8	51316	-0.996571886	8.90E-06
MRC1	4360	0.934250576	8.90E-06
LXN	56925	0.635582546	8.91E-06
JPH4	84502	1.370086198	9.15E-06
PTHLH	5744	1.024008768	9.35E-06
SMO	6608	0.641941825	9.48E-06
DCTPP1	79077	-0.540339164	9.48E-06
PIM2	11040	-0.708478522	9.49E-06
VSTM2L	128434	1.728869983	9.53E-06
MAD2L1BP	9587	-0.449462069	9.61E-06
WDR74	54663	-0.417669121	9.64E-06
BIRC5	332	-0.745101293	9.69E-06
FMOD	2331	0.841587648	9.74E-06
DIXDC1	85458	0.55877139	9.82E-06
PTPN21	11099	0.51155929	9.83E-06
SNAPC5	10302	-0.485062496	9.96E-06
RNF19B	127544	-0.513455901	9.97E-06
GSDMB	55876	-1.107578343	9.97E-06
P4HA2	8974	0.535266058	1.00E-05
ARHGAP24	83478	0.776501012	1.01E-05
PDZD11	51248	-0.442223231	1.02E-05
PCDHGA9	56107	1.328052646	1.03E-05
GDF11	10220	0.802453653	1.05E-05
PTPN7	5778	-0.794823897	1.06E-05
CCRL1	51554	1.222881289	1.07E-05
VNN2	8875	-0.999746902	1.07E-05
ARL15	54622	0.499120366	1.07E-05
EXTL1	2134	1.062745377	1.07E-05
FNDC4	64838	0.790811496	1.07E-05
STRA13	201254	-0.671457041	1.07E-05
UQCR10	29796	-0.684566982	1.07E-05
CDK6	1021	0.976735633	1.09E-05
E2F2	1870	-0.674456154	1.09E-05
SPRED1	161742	0.479915929	1.10E-05
SMTNL2	342527	1.62468292	1.10E-05
PRKCQ	5588	-0.794210407	1.10E-05
VPS72	6944	-0.423229375	1.10E-05
IGF2	3481	2.049739749	1.10E-05
C18orf56	494514	-1.066249807	1.10E-05
TWIST1	7291	1.123090188	1.11E-05
CYYR1	116159	1.138680989	1.13E-05
IL15RA	3601	-0.796766308	1.13E-05
HSPE1	3336	-0.54095552	1.13E-05
C17orf95	124512	-0.469555485	1.13E-05
DLL1	28514	1.054305127	1.14E-05
SLA2	84174	-0.856969083	1.16E-05
CISD3	284106	-0.586542175	1.17E-05
CAV1	857	0.812400189	1.17E-05
ABI3	51225	-0.640801701	1.18E-05
TNFRSF14	8764	-0.650214574	1.18E-05
TTYH3	80727	0.58613028	1.19E-05
